,username,description,location,text,hashtags
12,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/MdT8iUd5PC,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
13,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,"Transform your income into a source of income by teaching from your home
Sell your course now

For more info or booking
Call- +91-98448-01021
Mail- info@coach-ease.com
Website- https://t.co/qUTbffpter

#coachease #onlinecourse #onlinelearning #onlinecourses #education #elearning https://t.co/Akr1v2Votx",[]
14,coach_ease,,,"Transform your income into a source of income by teaching from your home
Sell your course now

For more info or booking
Call- +91-98448-01021
Mail- info@coach-ease.com
Website- https://t.co/qUTbffpter

#coachease #onlinecourse #onlinelearning #onlinecourses #education #elearning https://t.co/Akr1v2Votx","['coachease', 'onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
15,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/6qxqybrdYf,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
16,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/6qxqybrdYf,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
17,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/Rh3g9mkhxC,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
18,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,Design a Best-In-Class Business : https://t.co/WqRV24hqle #business #MOOC #elearning #onlinecourses #onlinelearning #MOOCs,"['business', 'MOOC', 'elearning', 'onlinecourses', 'onlinelearning']"
19,OnlineCourse365,#elearning #MOOC #onlinecourse #onlinelearning #MOOCs #onlinecourses,@OnlineCourse365,Design a Best-In-Class Business : https://t.co/WqRV24hqle #business #MOOC #elearning #onlinecourses #onlinelearning #MOOCs,"['business', 'MOOC', 'elearning', 'onlinecourses', 'onlinelearning', 'MOOCs']"
20,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/Sw4vB1Ye4M,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
21,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,Check out the latest E-Learning news and resources at https://t.co/ZzEET5DHAE (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
22,estatoora,"👑 •  The #1 #eCom platform for
⚙  • Making Businesses Better, Wider
⚒  • Build your business website now!",,"info@estatoora.com or via phone: 0919-085-3085

RELATED WEBINAR ON ESTATOORA LMS: https://t.co/d0w9qSSw4v

#estatoora #chatwithus #estatooralms #elearning #elearninghero #freelms #lms #onlinelearning","['estatoora', 'chatwithus', 'estatooralms', 'elearning', 'elearninghero', 'freelms', 'lms', 'onlinelearning']"
23,PyScaleLLC,"Polyglot technologist. PyScale focuses on developing scalable, solutions in the cloud. Retweets do not represent my views. link - https://t.co/KeYGCi3bOi","Miami, FL",Check out the latest E-Learning news and resources at https://t.co/ZzEET5DHAE (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
24,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,"CorpTrain - Corporate Training WordPress Theme
https://t.co/7pvFppXQ4x

#coaching #courses #elearning #education #educationwordpresstheme #learning #learningmanagementsystem #learnpress #lessons #lms #onlinecourse #onlineeducation #onlinelearning #themeforest","['coaching', 'courses', 'elearning', 'education']"
25,uthemesdesign,"50,000 WordPress Themes & Website Templates From 5$. The Most Popular eCommerce, WordPress Themes and Plugins.",,"CorpTrain - Corporate Training WordPress Theme
https://t.co/7pvFppXQ4x

#coaching #courses #elearning #education #educationwordpresstheme #learning #learningmanagementsystem #learnpress #lessons #lms #onlinecourse #onlineeducation #onlinelearning #themeforest","['coaching', 'courses', 'elearning', 'education', 'educationwordpresstheme', 'learning', 'learningmanagementsystem', 'learnpress', 'lessons', 'lms', 'onlinecourse', 'onlineeducation', 'onlinelearning', 'themeforest']"
26,jurczyk,"https://t.co/c02gCUsKUP Web Designer, Digital Marketer, Elearning Designer, Content Manager, Founder.","Brecksville, OH",Check out the latest E-Learning news and resources at https://t.co/ZzEET5DHAE (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning', 'onlinelearning', 'school', 'virtuallearning', 'cbt', 'wbt', 'college', 'university', 'onlinedegree', 'education', 'ai']"
27,educationbnb,By Doctor @KrittanawongMD. The leaderboard of #education3.0 lovers. Our mission: Establish education 3.0 Twitter community,,Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/RJsy3caPmd,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
28,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/RJsy3caPmd,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
29,stylelibreview,"50,000 WordPress Themes & Website Templates From 5$. The Most Popular eCommerce, WordPress Themes and Plugins.","Ukraine, Kiev","Edus - Online Courses HTML Template
https://t.co/M3dWAPRGvU

#academy #college #elearning #kindergarten #kreativdev #languagecourse #learningmanagement #lms #onlinecourses #onlineeducation #onlinelearning #sitetemplates #themeforest #business #corporate https://t.co/wTiD2C8Hwj","['academy', 'college', 'elearning', 'kindergarten', 'kreativdev', 'languagecourse', 'learningmanagement', 'lms', 'onlinecourses', 'onlineeducation', 'onlinelearning', 'sitetemplates', 'themeforest', 'business', 'corporate']"
30,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/gAlL6TVGKZ,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
31,drsamswapnorg,"Dr. Sam Swapn Foundation is a registered Non-Profit Organization in California, USA, under 501(3)© since 2012 doing nonprofit work and believes in ‘giving back.","Fremont, California ","Why choose PMP Certification Course in 2022? 🤔

Here we have some ideal answers to your questions about upskilling✌ in the Project Management profession/ certification course. 

#pmp #projectmanagement #courses #onlinelearning #career #upskilling #growthmindset #eLearning #USA https://t.co/AMs2EOZtvg","['pmp', 'projectmanagement', 'courses', 'onlinelearning', 'career', 'upskilling', 'growthmindset', 'eLearning', 'USA']"
32,education_24x7,"All education content. Education changes the life.
Software Developer| ML | DS | Technical Blogging at https://t.co/WNErKjwYtH |",Delhi,Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/eauvXk5Apw,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning']"
33,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/SVk7Jdjl7h,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
34,StrategismINC,"Learn PMP, BA, QA, Scrum, React jS, AWS, Salesforce, AI&ML, SAFe PO & Others Courses with Top class trainers at #StrategismInc. Call Us: +1 844-404-0103.","Newark, California, USA","Why choose PMP Certification Course in 2022? 🤔

Here we have some ideal answers to your questions about upskilling✌ in the Project Management profession/ certification course. 

#pmp #projectmanagement #courses #onlinelearning #career #upskilling #growthmindset #eLearning #USA https://t.co/4fUi3ryIEn","['pmp', 'projectmanagement', 'courses', 'onlinelearning', 'career', 'upskilling', 'growthmindset', 'eLearning', 'USA']"
35,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,Available for #OnlineTeaching: Dr. J – Learn More→  https://t.co/9YZWiUZeGw #distancelearning #adjuncts #educators #adultedu #elearning #edtech #onlinelearning #highered #education #adulteducation #adultlearning  #remotework #teachertwitter #educational #onlineclasses https://t.co/0SHEVotfoC,"['OnlineTeaching', 'distancelearning', 'adjuncts', 'educators']"
36,khudkaar,KhudKaar is a social enterprise working to create sustainable employment opportunities for unemployed,پاکستان,"Enroll now to be an expert designer and get hired by our partner network.
..
.
.
.
#courses #training #education #learning #course #onlinecourses #career #online #learn #business #students #college #study #onlinelearning #skills #elearning #udemy #university #student #sport https://t.co/7xR9kn7zOo","['courses', 'training', 'education', 'learning', 'course', 'onlinecourses', 'career', 'online', 'learn', 'business', 'students', 'college', 'study', 'onlinelearning', 'skills', 'elearning', 'udemy', 'university', 'student', 'sport']"
37,CMdatascoop,,,Available for #OnlineTeaching: Dr. J – Learn More→  https://t.co/9YZWiUZeGw #distancelearning #adjuncts #educators #adultedu #elearning #edtech #onlinelearning #highered #education #adulteducation #adultlearning  #remotework #teachertwitter #educational #onlineclasses https://t.co/0SHEVotfoC,"['OnlineTeaching', 'distancelearning', 'adjuncts', 'educators']"
38,DrBruceAJohnson,Transformational Educator: Specialize in Adult Education | Distance Learning | Online Teaching | Higher Education | Faculty Development | Curriculum Development,United States,Available for #OnlineTeaching: Dr. J – Learn More→  https://t.co/9YZWiUZeGw #distancelearning #adjuncts #educators #adultedu #elearning #edtech #onlinelearning #highered #education #adulteducation #adultlearning  #remotework #teachertwitter #educational #onlineclasses https://t.co/0SHEVotfoC,"['OnlineTeaching', 'distancelearning', 'adjuncts', 'educators', 'adultedu', 'elearning', 'edtech', 'onlinelearning', 'highered', 'education', 'adulteducation', 'adultlearning', 'remotework', 'teachertwitter', 'educational', 'onlineclasses']"
39,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/Qomgws0qmZ,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
40,kamal_iimi,,Mumbai,"Let's make all course content simpler for students to learn faster with CollegeDoors' Study Material

Visit Us: https://t.co/l6jyNUOMPu

#elearning #onlinelearning #digital #digitalcourses #studymaterials #courses https://t.co/xca64BJL0g",[]
41,CretaClass,Creta Class is a math App product designed and developed for kids ages 3-8. App Store： https://t.co/XLSTRZuMJD Google Play：https://t.co/TuU6RpayuH,,"Creta Class has what kids love！ With fun courses scientifically designed for kids aged 3-8. Start a free trial now！

#CretaClass #CretaClassMath #Math  #OnlineLearning #eLearning #eLearningForKids #HomeSchool #Growth #Study #Class #Kids #Child #Parenting #Homeschooler https://t.co/8JAHAA6e5n","['CretaClass', 'CretaClassMath', 'Math', 'OnlineLearning', 'eLearning', 'eLearningForKids', 'HomeSchool', 'Growth', 'Study', 'Class', 'Kids', 'Child', 'Parenting', 'Homeschooler']"
42,OnlineCourse365,#elearning #MOOC #onlinecourse #onlinelearning #MOOCs #onlinecourses,@OnlineCourse365,Best Online Courses : https://t.co/v37TV2Cv6L #elearning #MOOC #onlinecourse #onlinelearning #MOOCs #onlinecourses,"['elearning', 'MOOC', 'onlinecourse', 'onlinelearning', 'MOOCs', 'onlinecourses']"
43,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkwpJe #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/3BiLvLP7in,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
44,CollegeDoors,"https://t.co/JTEtBWJh5U - an online platform aimed at helping JEE (Main), BITSAT, AIIMS and NEET aspirants achieve better results through Analytics & Insights.","Mumbai, India","Let's make all course content simpler for students to learn faster with CollegeDoors' Study Material

Visit Us: https://t.co/l6jyNUOMPu

#elearning #onlinelearning #digital #digitalcourses #studymaterials #courses https://t.co/xca64BJL0g","['elearning', 'onlinelearning', 'digital', 'digitalcourses', 'studymaterials', 'courses']"
45,Yusuff2211,,,"Do you need a professional? online course content, course module, outline, course video and PPT #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training  https://t.co/cvogfmJNUw https://t.co/xlbTxH2zlM",['onlinecourse']
46,Yusuff2211,,,"Do you need a professional? online course content, course module, outline, course video and PPT #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training  https://t.co/cvogfmJNUw https://t.co/xlbTxH2zlM","['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training']"
47,Learngenix,Learning & Development company. Our mission is to help you learn - whoever and wherever you choose.,,"DEADLINE June 30th: Hey #learningtech vendors, do you serve the extended enterprise market? Enter the 2022 Talented Learning Systems Awards!
🏅🏅🏅

It's free, so what are you waiting for? Get started now👉https://t.co/dIbY7FaqeW

#LMS #LXP #onlinelearning #elearning #hrtech https://t.co/qStxRIl3b8",['learningtech']
48,AedinInsight,"Digital Marketing Manager @aedinInsight
Connecting small businesses with customers…and have a great time doing it.","Albuquerque, New Mexico",Make Your Own Online Courses https://t.co/K1bfwkeORG #onlinecourse #onlinelearning #onlinecourses #education #elearning #online #onlineclass #learning #onlineclasses #onlinetraining #course #training #dirumahaja #learnonline #kursusonline #learn #entrepreneur #stayhome #COURSES https://t.co/9GSqP83Ejo,"['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'online', 'onlineclass', 'learning', 'onlineclasses', 'onlinetraining', 'course', 'training', 'dirumahaja', 'learnonline', 'kursusonline', 'learn', 'entrepreneur', 'stayhome', 'COURSES']"
49,AlightproOnline,"We are online IT courses training institution, providing premium learning experience that transform beginners into professionals.","4973 S Dillon St,CO 80015, USA","Why IT is the Best Career Choice? -@ https://t.co/rQDSqoTqP3

#onlinetraining #onlinecourses #onlinelearning #career #education #elearning #online #onlineclass #training #followforfollowback #alightpro https://t.co/tV5OImU7xF","['onlinetraining', 'onlinecourses', 'onlinelearning', 'career', 'education', 'elearning', 'online', 'onlineclass', 'training', 'followforfollowback', 'alightpro']"
50,TataStudi,"The Official Twitter Page of Tata Studi, start your journey towards independent learning that stays with you. #PlanPracticePerfect",India,"Every step you take is helping you progress towards success

#TCE #Planning  #Learning #Learn #CBSE #India #Knowledge #Students #Parents #Coach #OnlineLearning #NCERT #Edtech #Education #ELearning https://t.co/Xgrgqsb9gf","['TCE', 'Planning', 'Learning', 'Learn', 'CBSE', 'India', 'Knowledge', 'Students', 'Parents', 'Coach', 'OnlineLearning', 'NCERT', 'Edtech', 'Education', 'ELearning']"
51,DistanceLrnBot,"Follow this account to get Tweets with hashtag #distancelearning in your timeline.  Share, learn, & support students together.  Managed by @MrsJennCarr.",San Diego,Check out the latest E-Learning news and resources at https://t.co/QWo5LVNKG1 (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
52,teacherdadaedu,TeacherDada is an online course marketplace that acts as a digital bridge between aspiring students and professional instructors for effective teaching. ,India,"🎶​🎼​Learn Complete Guitar Online Course 💁‍♀️​🎸

➡️​Join our course ​💁‍♀️​: https://t.co/SygBvi4BrF

#onlinecourse #onlinelearning #onlinecourses #education #elearning  #guitar #music #guitarist #rock #musician #guitarplayer #bass #singer #metal #drums #guitarra #guitarsolo https://t.co/v9FYaKEQ9k","['onlinecourse', 'onlinelearning', 'onlinecourses', 'education', 'elearning', 'guitar', 'music', 'guitarist', 'rock', 'musician', 'guitarplayer', 'bass', 'singer', 'metal', 'drums', 'guitarra', 'guitarsolo']"
53,PyScaleLLC,"Polyglot technologist. PyScale focuses on developing scalable, solutions in the cloud. Retweets do not represent my views. link - https://t.co/KeYGCi3bOi","Miami, FL",Check out the latest E-Learning news and resources at https://t.co/QWo5LVNKG1 (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning']"
54,jurczyk,"https://t.co/c02gCUsKUP Web Designer, Digital Marketer, Elearning Designer, Content Manager, Founder.","Brecksville, OH",Check out the latest E-Learning news and resources at https://t.co/QWo5LVNKG1 (updated daily) #elearning #distancelearning #onlinelearning #school #virtuallearning #cbt #wbt #college #university #onlinedegree #education #ai,"['elearning', 'distancelearning', 'onlinelearning', 'school', 'virtuallearning', 'cbt', 'wbt', 'college', 'university', 'onlinedegree', 'education', 'ai']"
55,JohnLeh,"CEO/Lead Analyst https://t.co/TjjBqahfoz (@TalentedLearn). #Learning #tech consultant/blogger focused on extended enterprise. Love literature, lifelong learning","Pennsylvania, USA","DEADLINE June 30th: Hey #learningtech vendors, do you serve the extended enterprise market? Enter the 2022 Talented Learning Systems Awards!
🏅🏅🏅

It's free, so what are you waiting for? Get started now👉https://t.co/dIbY7FaqeW

#LMS #LXP #onlinelearning #elearning #hrtech https://t.co/qStxRIl3b8",['learningtech']
